SSOC 2015,OCCUPATION,,SSOC 2010
71272,Air-conditioning/Refrigeration plant installer,,71272
,,,
,,,
7129,Building Finishers and Related Trades Workers Not Elsewhere Classified,,
71290,Building finisher and related trades worker n.e.c.,,71290
,,,
,,,
713,"PAINTERS, BUILDING STRUCTURE CLEANERS AND RELATED ",,
,     WORKERS,,
,,,
,,,
7131,Building Painters and Related Workers,,
71311,Building painter,,71311
71312,Wall/Ceiling paperhanger,,71312
,,,
,,,
7132,"Spray Painters, Varnishers and Other Painters",,
71321,Structural steel/Ship painter,,71321
71322,Motor vehicle spray painter,,71322
71323,Sign painter,,71323
71324,"Spray painter (except ships, motor vehicles and signs)",,71324
71329,Other painters and related workers,,71329
,,,
,,,
7133,"Building Maintenance Workers, Building Structure Cleaners and ",,
,     Related Workers,,
71331,Building maintenance worker,,71331
71332,Building structure cleaner and related worker,,71332
,,,
,,,
72,"METAL, MACHINERY AND RELATED TRADES WORKERS",,
,,,
,,,
720,"SUPERVISORS AND GENERAL FOREMEN (METAL, MACHINERY ",,
,     AND RELATED TRADES),,
,,,
,,,
7200,"Supervisors and General Foremen (Metal, Machinery and Related Trades)",,
72000,"Supervisor/General foreman (metal, machinery and related trades)",,72000
,,,
,,,
721,"SHEET AND STRUCTURAL METAL WORKERS, MOULDERS AND ",,
,     WELDERS AND RELATED TRADES WORKERS,,
,,,
,,,
7211,Metal Moulders and Coremakers,,
72111,Metal moulder,,72111
72112,Coremaker,,72112
,,,
,,,
7212,Welders and Flame Cutters,,
72121,Welder,,72121
72122,Flame cutter,,72122
,,,
,,,
7213,Sheet Metal Workers,,
72131,Sheet metal worker (general),,72131
72132,Boilermaker,,72132
72133,Panel beater,,72133
72139,Other sheet metal workers,,72139
,,,
,,,
7214,Structural Metal Preparers and Erectors,,
72141,Structural steel worker (workshop)/fabricator,,72141
72142,Reinforcing iron worker/Steel reinforcement worker,,72142
72143,Structural steel erector,,72143
72144,Metal shipwright,,72144
72145,Ship plater,,72145
72146,Mould lofter,,72146
72149,Other structural metal preparers and erectors,,72149
,,,
,,,
7215,Riggers and Cable Splicers,,
72151,Hoisting equipment rigger (general),,72151
72152,Rope and cable splicer (general),,72152
72153,Hoisting equipment rigger (construction),,72153
72154,Ship rigger,,72154
72155,Oil and gas well drilling rigger,,72156
72159,Other riggers and cable splicers,,72159
,,,
,,,
722,"BLACKSMITHS, TOOLMAKERS AND RELATED TRADES WORKERS",,
,,,
,,,
7221,"Blacksmiths, Hammersmiths and Forging-Press Workers",,
72211,Blacksmith (general),,72211
72212,Forging-press operator,,72212
72219,"Other blacksmiths, hammersmiths and forging-press workers ",,72219
,,,
,,,
7222,Toolmakers and Related Workers,,
72221,Tool and die maker,,72221
72222,Jig and gauge maker,,72222
72223,Metal pattern maker,,72223
72224,Locksmith,,72224
72229,Other toolmakers and related workers,,72229
,,,
,,,
7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners",,
72241,Buffing/Polishing machine operator,,72241
72242,Tool grinder (machine tools),,72242
72249,"Other metal polishers, grinders and tool sharpeners",,72249
,,,
,,,
723,"MACHINERY MECHANICS, FITTERS AND REPAIRERS",,
,,,
,,,
7231,Motor Vehicle Mechanics and Repairers,,
72311,Motor vehicle mechanic,,72311
72312,Motor vehicle body builder,,72312
,,,
,,,
7232,Aircraft Engine Mechanics and Repairers,,
72321,Aircraft engine mechanic,,72321
72322,Aircraft engine fitter,,72322
,,,
,,,
7233,Other Machinery Mechanics and Repairers,,
72331,Machinery mechanic (general),,72331
72332,Machinery fitter (general),,72332
72333,Industrial/Office machinery mechanic,,72333
72334,Marine engine fitter,,72334
72335,Machinery erector/installer,,72335
72339,Other machinery mechanics and repairers (eg agricultural machinery ,,72339
,"     mechanic, bicycle repairer)",,
,,,
,,,
73,"PRECISION, HANDICRAFT, PRINTING AND RELATED TRADES ",,
,     WORKERS,,
,,,
,,,
730,"SUPERVISORS AND GENERAL FOREMEN (PRECISION, ",,
,"     HANDICRAFT, PRINTING AND RELATED TRADES)",,
,,,
,,,
7300,"Supervisors and General Foremen (Precision, Handicraft, Printing and ",,
,     Related Trades),,
73000,"Supervisor/General foreman (precision, handicraft, printing and ",,73000 
,     related trades),,
,,,
,,,
731,HANDICRAFT AND PRECISION WORKERS,,
,,,
,,,
7311,Precision Instrument Makers and Repairers,,
73111,Watch and clock assembler,,73111
73112,Watch and clock repairer,,73112
73113,Optical instrument maker/repairer,,73113
73114,Medical device assembler/repairer,,73119 (part)
73119,Other precision instrument makers and repairers ,,73119 (part)
,,,
,,,
7312,"Musical Instrument Makers, Repairers and Tuners",,
73120,Musical instrument maker/repairer/tuner,,73120 
,,,
,,,
7313,Jewellery and Precious Metal Workers,,
73131,Jewellery worker (general),,73131 
73132,Gem setter/cutter and polisher,,73132 
73133,Goldsmith/Silversmith,,73133 
73134,Jewellery engraver,,73134 
73139,Other jewellery and precious metal workers ,,73139 
,,,
,,,
7314,Potters and Related Workers,,
73141,Pottery worker,,73141
73142,Brick and tile moulder,,73142
73149,Other potters and related workers,,73149
,,,
,,,
7315,"Glass Makers, Cutters, Grinders and Finishers",,
73151,Glass blower,,73151
73152,Glass lens moulder,,73152
73153,Optical glass cutter,,73153
73154,Lens grinding machine operator,,73154
73155,Lens polishing machine operator,,73155
73159,"Other glass makers, cutters, grinders and finishers",,73159
,,,
,,,
7316,"Sign Writers, Decorative Painters, Engravers and Etchers",,
73161,Glass engraver/etcher,,73161
73162,Glass and ceramic painter/decorator,,73162
73169,Other engravers and related decorative painters,,73169
,,,
,,,
732,PRINTING TRADES WORKERS,,
,,,
,,,
7321,Pre-Press Trades Workers,,
73211,Compositor/Typesetter,,73211
73212,Stereotyper,,73212
73213,Electrotyper,,73213
73214,Photo-engraver,,73214
73215,Photogravure cameraman ,,73215
73216,Photogravure retoucher,,73216
73217,Photogravure etcher,,73217
73219,Other pre-press trades workers,,73219
,,,
,,,
7322,Printers,,
73221,Silk screen/Block/Textile printer,,73221
73229,Other printers ,,73229
,,,
,,,
74,ELECTRICAL AND ELECTRONIC TRADES WORKERS,,
,,,
,,,
740,SUPERVISORS AND GENERAL FOREMEN (ELECTRICAL AND ,,
,     ELECTRONIC TRADES),,
,,,
,,,
7400,Supervisors and General Foremen (Electrical and Electronic Trades),,
74000,Supervisor/General foreman (electrical and electronic trades),,74000
,,,
,,,
741,ELECTRICAL EQUIPMENT RELATED TRADES WORKERS,,
,,,
,,,
7411,Electricians,,
74110,Electrician,,74110
,,,
,,,
7412,Electrical Mechanics and Fitters,,
74121,Electrical fitter (general),,74121
74122,"Electrical lift, escalator and related equipment fitter",,74122
74123,Electrical household appliance repairer,,74123
74129,Other electrical mechanics and fitters,,74129
,,,
,,,
7413,Electrical Line Installers and Repairers,,
74131,Electrical line installer,,74131
74132,Electric cable jointer,,74132
74139,Other electrical line installers and repairers,,74139
,,,
,,,
742,ELECTRONICS AND TELECOMMUNICATIONS RELATED TRADES ,,
,    WORKERS,,
,,,
,,,
7421,Electronics Mechanics and Servicers,,
74211,Electronics fitter (general),,74211
74212,Consumer audio and video equipment mechanic,,74212
74219,Other electronics fitters ,,74219
,,,
,,,
7422,Information and Communications Technology Installers and Servicers,,
74221,"Radio, television and radar broadcasting/transmitting equipment fitter",,74221
74222,Computer and related electronic equipment mechanic,,74222
74223,Telecommunications lineman,,74223
74224,Telecommunications installer/servicer,,74224
,,,
,,,
75,"FOOD PROCESSING, WOODWORKING, GARMENT, LEATHER ",,
,     AND OTHER CRAFT AND RELATED TRADES WORKERS,,
,,,
,,,
750,"SUPERVISORS AND GENERAL FOREMEN (FOOD PROCESSING, ",,
,"     WOODWORKING, GARMENT, LEATHER AND RELATED ",,
,     TRADES),,
,,,
,,,
7500,"Supervisors and General Foremen (Food Processing, Woodworking, 
",,
,"     Garment, Leather and Related Trades)",,
75000,"Supervisor/General foreman (food processing, woodworking, garment, 
",,75000
,     leather and related trades),,
,,,
,,,
751,FOOD PROCESSING AND RELATED TRADES WORKERS,,
,,,
,,,
7511,Meat and Fish Preparers,,
75111,Slaughterer,,75111
75119,Other meat and fish preparers,,75119
,,,
,,,
7512,"Bakers, Pastry and Confectionery Makers",,
75121,Baker (general),,75121
75122,Bread baker,,75122
75123,Pastry and confectionery maker,,75123
,,,
,,,
7515,Food and Beverage Tasters and Graders,,
75151,Coffee and tea taster,,75151
75159,Other food and beverage tasters and graders,,75159
,,,
,,,
7519,Food Processing and Related Trades Workers Not Elsewhere Classified,,
75190,Food processing and related trades worker n.e.c. (eg fruit pickler),,75190
,,,
,,,
752,"WOOD TREATERS, CABINET MAKERS AND RELATED TRADES ",,
,     WORKERS,,
,,,
,,,
7521,Wood Treaters,,
75211,Kiln drier,,75211
75212,Wood-treating worker,,75212
75219,Other wood treaters ,,75219
,,,
,,,
7522,Cabinet Makers and Wood Related Trades Workers,,
75221,Cabinet and furniture maker,,75221
75222,Wood furniture finisher,,75222
75223,Picture frame maker,,75223
75229,Other cabinet makers and wood related trades workers ,,75229
,,,
,,,
7529,Furniture Makers and Related Trades Workers Not Elsewhere Classified,,
75291,Rattan furniture maker,,75291
75299,Other furniture makers and related trades workers n.e.c.,,75299
,,,
,,,
753,"GARMENT, LEATHER AND RELATED TRADES WORKERS",,
,,,
,,,
7531,Tailors/Dressmakers,,
75310,Tailor/Dressmaker,,75310
,,,
,,,
7532,Garment and Related Pattern-Makers and Cutters,,
75321,Garment cutter,,75321
75322,Garment pattern-maker,,75322
75323,Garment marker,,75323
75329,Other garment and related pattern-makers and cutters ,,75329
,,,
,,,
7534,Upholsterers and Related Workers,,
75341,Furniture upholsterer,,75341
75342,Vehicle upholsterer,,75342
75343,Mattress maker,,75343
75349,Other upholsterers and related workers ,,75349
,,,
,,,
7536,Shoemakers and Related Workers,,
75361,Shoemaker,,75361
75362,Orthopaedic footwear maker,,75362
75363,Cobbler,,75363
75364,Leather goods maker/assembler,,75364
75369,Other shoemakers and related workers,,75369
,,,
,,,
7539,Garment and Related Trades Workers Not Elsewhere Classified ,,
75390,"Garment and related trades worker n.e.c. (eg fellmonger, tent sewer, ",,75390
,     umbrella maker),,
,,,
,,,
754,OTHER CRAFT AND RELATED WORKERS ,,
,,,
,,,
7540,Other Craft and Related Workers,,
75401,Fumigators/Pest and weed controllers,,75401
75402,Underwater diver,,75402
75409,Other craft and related workers n.e.c.,,75409
,,,
,,,
8,PLANT AND MACHINE OPERATORS AND ASSEMBLERS,,
,,,
,,,
81,STATIONARY PLANT AND MACHINE OPERATORS,,
,,,
,,,
810,STATIONARY PLANT AND MACHINE SUPERVISORS AND GENERAL,,
,     FOREMEN,,
,,,
,,,
8100,Stationary Plant and Machine Supervisors and General Foremen,,
81000,Stationary plant and machine supervisor/general foreman,,81000 
,,,
,,,
811,MINING AND MINERAL PROCESSING PLANT OPERATORS,,
,,,
,,,
8113,Well Drillers and Borers and Other Mining Related Workers,,
81131,Well driller (petroleum and gas wells),,81131
81132,Well driller/borer (except oil and gas wells),,81132
81133,Deep-boring machine operator,,81133
81139,Other well drillers and borers and other mining related workers,,81139
,,,
,,,
8114,Cement and Other Mineral Products Machine Operators,,
81141,Precast concrete product making machine operator,,81141
81142,Asbestos cement product making machine operator,,81142
81143,Terrazzo tile making machine operator,,81143
81144,Concrete mixing plant operator (including concrete mixer operator),,81144
81145,Concrete pump operator,,81145
81149,Other mineral products and processing machine operators,,81149
,,,
,,,
812,"METAL PROCESSING, FINISHING AND PRODUCTS  PLANT",,
,     OPERATORS,,
,,,
,,,
8121,"Metal Melters, Casters and Rolling Mill Operators",,
81211,Ore and metal furnace operator (including furnaceman),,81211
81212,Centrifugal casting machine operator,,81212
81213,Die casting machine operator,,81213
81214,Continuous rod casting machine operator (non-ferrous metal),,81214
81215,Metal rolling mill worker,,81215
81219,"Other metal melters, casters and rolling mill operators",,81219
,,,
,,,
8122,Metal Heat Treating Plant Operators,,
81220,Metal heat treating plant operator,,81220
,,,
,,,
8123,Metal Drawers and Extruders,,
81231,Wire drawer,,81231
81232,Seamless pipe and tube drawer,,81232
81233,Extruder operator (metal),,81233
81239,Other metal drawers and extruders,,81239
,,,
,,,
8124,"Metal Finishing, Plating and Coating Machine Operators",,
81241,Electro-plater,,81241
81242,Hot-dip plater,,81242
81243,Wire-coating machine operator,,81243
81244,Galvaniser,,81244
81245,Metal sprayer,,81245
81246,Anodiser,,81246
81247,Sandblaster/Shotblaster (metal),,81247
81248,Metal cleaner,,81248
81249,"Other metal finishing, plating and coating machine operators",,81249
,,,
,,,
8125,Machine-Tool Setter-Operators,,
81251,Metalworking machine setter-operator (general),,81251
81252,Lathe setter-operator,,81252
81253,Milling machine setter-operator,,81253
81254,Planing machine setter-operator,,81254
81255,Boring/Drilling machine setter-operator,,81255
81256,Shaping and honing machine setter-operator,,81256
81257,Precision grinding machine setter-operator,,81257
81258,Numerical control machine setter-operator,,81258
81259,Other machine-tool setter-operators,,81259
,,,
,,,
813,"CHEMICAL PROCESSING, CHEMICAL AND PHOTOGRAPHIC",,
,     PRODUCTS PLANT AND MACHINE OPERATORS,,
,,,
,,,
8131,Chemical Processing and Chemical Products Plant and Machine ,,
,     Operators,,
81311,Crushing/Grinding/Chemical mixing equipment operator,,81311
81312,Chemical heat treating plant operator,,81312
81313,Chemical filtering and separating equipment operator,,81313
81314,Chemical still/reactor operator,,81314
81315,Synthetic fibre making machine operator,,81315
81319,Other chemical processing and chemical products plant and ,,81319
,     machine operators,,
,,,
,,,
8132,Photographic Products Machine Operators,,
81320,Photographic products machine operator,,81320
,,,
,,,
8133,Pharmaceutical and Toiletry Products Machine Operators,,
81331,Pharmaceutical products machine operator,,81331
81332,Soap-making machine operator,,81332
81339,Other toiletry products machine operators,,81339
,,,
,,,
8139,"Chemical Processing, Chemical and Photographic Products Plant and ",,
,     Machine Operators Not Elsewhere Classified,,
81390,"Chemical processing, chemical and photographic products plant and ",,81390
,     machine operator n.e.c.,,
,,,
,,,
814,"RUBBER, PLASTIC AND PAPER PRODUCTS MACHINE OPERATORS",,
,,,
,,,
8141,Rubber Products Machine Operators,,
81411,Rubber millman,,81411
81412,Rubber laminating machine operator,,81412
81419,Other rubber products machine operators ,,81419
,,,
,,,
8142,Plastic Products Machine Operators,,
81420,Plastic products machine operator,,81420
,,,
,,,
8143,Paper and Paperboard Products Machine Operators,,
81431,Carton/Paper box making machine operator,,81431
81432,Paper product making machine operator,,81432
81439,Other paper and paperboard products machine operators ,,81439
,,,
,,,
815,"TEXTILE, FUR AND LEATHER PRODUCTS MACHINE OPERATORS",,
,,,
,,,
8151,"Fibre Preparing, Spinning and Winding Machine Operators",,
81511,Spinner (thread and yarn),,81511
81512,Winder (thread and yarn),,81512
,,,
,,,
8152,Weaving and Knitting Machine Operators,,
81521,Weaving machine operator,,81521
81522,Knitting machine operator,,81522
,,,
,,,
8153,Sewing Machine Operators,,
81531,Sewing machine operator,,81531
81532,Machine embroiderer,,81532
,,,
,,,
8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators",,
81541,Textile bleaching machine operator,,81541
81542,Dyeing machine operator,,81542
81543,Textile washing/Shrinking machine operator,,81543
81549,"Other bleaching, dyeing and fabric cleaning machine operators ",,81549
,,,
,,,
8159,"Textile, Fur and Leather Products Machine Operators Not Elsewhere ",,
,     Classified,,
81591,"Laundry and dry cleaning worker (machine, non-household)",,81591
81599,"Other textile, fur and leather products machine operators n.e.c. ",,81599
,     (eg shoemaking and related machine operators),,
,,,
,,,
816,FOOD AND RELATED PRODUCTS MACHINE OPERATORS,,
,,,
,,,
8161,Meat and Fish Products Machine Operators,,
81611,Sausage making machine operator,,81611
81619,Other meat and fish processing machine operators,,81619
,,,
,,,
8162,Dairy and Confectionery Products Machine Operators,,
81621,Dairy product processing machine operator (general),,81621
81622,Dairy product pasteurising machine operator,,81622
81623,Butter making machine operator,,81623
81624,Ice-cream making machine operator,,81624
81625,Chocolate making machine operator,,81625
81626,Confectionery making machine operator,,81626
81629,Other dairy and confectionery products machine operators ,,81629
,,,
,,,
8163,Grain and Spice Milling Machine Operators,,
81630,Grain/Spice milling machine operator,,81630
,,,
,,,
8164,Baked and Cereal Products Machine Operators,,
81641,Biscuit making machine operator,,81641
81642,Macaroni/Noodle/Vermicelli making machine operator,,81642
81649,Other baked and cereal products machine operators,,81649
,,,
,,,
8165,"Fruit, Vegetable and Nut Products Machine Operators",,
81651,Fruit-press operator,,81651
81652,Oil pressman (edible oils),,81652
81653,Refining machine operator (oils and fats),,81653
81654,Hydrogenation operator (oils and fats),,81654
81655,Sauce making machine operator,,81655
81659,"Other fruit, vegetable and nut processing machine operators ",,81659
,,,
,,,
8166,Sugar Processing and Refining Machine Operators,,
81660,Sugar processing and refining machine operator,,81660
,,,
,,,
8167,Brewers and Wine and Other Beverage Machine Operators,,
81671,Germination worker (malting),,81671
81672,Kilnman (malting),,81672
81673,Brewer,,81673
81674,Fermenting-room man,,81674
81675,Pasteuriser attendant (malt liquor),,81675
81676,Syrup making machine operator,,81676
81677,Coffee/Tea blending machine operator,,81677
81678,Coffee/Cocoa bean roasting and grinding machine operator,,81678
81679,Other brewers and wine and other beverage machine operators,,81679
,,,
,,,
8168,Tobacco Products Machine Operators,,
81681,Cigarette making machine operator,,81681
81689,Other tobacco products machine operators ,,81689
,,,
,,,
8169,Food and Related Products Machine Operators Not Elsewhere Classified,,
81691,Bean curd making machine operator,,81691
81692,Ice making machine operator,,81692
81693,Feed mixing machine operator,,81693
81694,Fish feed making machine operator,,81694
81699,Other food and related products machine operators n.e.c.,,81699
,,,
,,,
817,WOOD PROCESSING AND PAPERMAKING PLANT OPERATORS,,
,,,
,,,
8171,Pulp and Papermaking Plant Operators,,
81711,Paper pulp plant operator,,81711
81712,Papermaking machine operator,,81712
81719,Other pulp and papermaking plant operators ,,81719
,,,
,,,
8172,Wood Processing Plant Operators,,
81721,Sawyer,,81721
81722,Veneer cutter,,81722
81723,Plywood core layer,,81723
81724,Plywood press operator,,81724
81725,Wood grader,,81725
81729,Other wood processing plant operators ,,81729
,,,
,,,
8173,Wood Products Machine Operators,,
81731,Woodworking machine setter-operator,,81731
81732,Precision wood sawyer,,81732
81739,Other wood products machine operators ,,81739
,,,
,,,
818,OTHER STATIONARY PLANT AND MACHINE OPERATORS,,
,,,
,,,
8181,Glass and Ceramics Plant Operators,,
81811,Glass/Ceramics kiln machine operator,,81811
81812,Fibreglass maker,,81812
81819,Other glass and ceramics plant operators,,81819
,,,
,,,
8182,Steam Engine and Boiler Operators,,
81821,Boiler fireman,,81821
81822,Ship's fireman,,81822
81823,Ship's oiler/greaser,,81823
81829,"Other steam turbine, boiler and engine operators ",,81829
,,,
,,,
8183,"Packing, Bottling and Labelling Machine Operators",,
81830,Packing/Bottling/Labelling machine operator,,81830
,,,
,,,
8184,"Printing, Binding and Related Machine Operators",,
81841,Printing machine operator,,81841
81842,Bookbinding machine operator,,81842
81843,Book embossing machine operator,,81843
81849,"Other printing, binding and related machine operators",,81849
,,,
,,,
8185,"Incineration Plant, Water Treatment and Related Machine Operators",,
81851,Stationary engine operator (general),,81851
81852,Compressor operator,,81852
81853,Pumping station operator,,81853
81854,Water treatment machine operator (waterworks),,81854
81855,Refrigeration system operator,,81855
81859,"Other incineration plant, water treatment and related machine operators ",,81859
,,,
,,,
8186,Power Generating Plant Operators,,
81860,Power generating plant operator,,81860
,,,
,,,
8187,Petroleum and Natural Gas Refining Plant Operators,,
81871,Petroleum and natural gas refining plant operator,,81871
81872,Cylinder filler/tester (compressed and liquefied gases),,81872
,,,
,,,
8188,Automated Assembly Line and Industrial Robot Operators,,
81880,Automated assembly line/Industrial robot operator,,81880
,,,
,,,
8189,Stationary Plant and Machine Operators Not Elsewhere Classified,,
81890,Stationary plant and machine operator n.e.c.,,81890
,,,
,,,
82,ASSEMBLERS AND QUALITY CHECKERS,,
,,,
,,,
820,SUPERVISORS AND GENERAL FOREMEN OF ASSEMBLERS,,
,     AND QUALITY CHECKERS,,
,,,
,,,
8200,Supervisors and General Foremen of Assemblers and Quality Checkers ,,
82000,Supervisor/general foreman of assemblers and quality checkers,,82000
,,,
,,,
821,"ASSEMBLERS, QUALITY CHECKERS AND TESTERS",,
,,,
,,,
8212,Electrical and Electronic Equipment Assemblers,,
82121,Electrical equipment/component assembler,,82121
82122,Electronic equipment/component assembler,,82122
82123,Battery assembler,,82123
,,,
,,,
8213,Quality Checkers and Testers,,
82131,Electrical/Electronic products quality checker and tester,,82131
82132,Mechanical products quality checker and tester,,82132
82139,Other quality checkers and testers,,82139
,,,
,,,
8219,Assemblers Not Elsewhere Classified,,
82191,Toy assembler,,82191
82199,"Other assemblers n.e.c. (eg plastic products assembler, rubber products ",,82199
,     assembler),,
,,,
,,,
83,DRIVERS AND MOBILE MACHINERY OPERATORS,,
,,,
,,,
830,MOBILE MACHINERY SUPERVISORS AND GENERAL FOREMEN,,
,,,
,,,
8300,Mobile Machinery Supervisors and General Foremen,,
83000,Mobile machinery supervisor and general foreman,,83000
,,,
,,,
831,MRT TRAIN OPERATORS AND RELATED WORKERS,,
,,,
,,,
8311,MRT Train Operators,,
83110,MRT train operator,,83110
,,,
,,,
8312,Railway Brakers and Related Workers,,
83121,Railway brakeman/signalman/shunter,,83121
83129,Other railway brakers and related workers ,,83129
,,,
,,,
832,CAR AND LIGHT GOODS VEHICLE DRIVERS,,
,,,
,,,
8321,Motorcycle Delivery Men,,
83210,Motorcycle delivery man,,83210 
,,,
,,,
8322,"Car, Taxi, Van and Light Goods Vehicle Drivers",,
83221,Taxi driver,,83221
83222,Chauffeur,,83222
83223,Van driver,,83223
83224,Ambulance driver,,83291
83225,Parking valet,,83299 (part)
83229,Other car and light goods vehicle drivers ,,83299 (part)
,,,
,,,
833,HEAVY TRUCK AND BUS DRIVERS,,
,,,
,,,
8331,Bus and Tram Drivers,,
83311,Bus driver,,83311
83312,Tram driver,,83312
,,,
,,,
8332,Heavy Truck and Lorry Drivers,,
83321,Lorry driver,,83321
83322,Trailer-truck driver (including prime mover driver),,83322
83323,Fire-engine driver,,83323
83324,Airport mobile equipment driver,,83324
83325,Concrete mix truck driver,,83329 (part)
83326,Waste truck driver (including hooklift trucks with roll-on containers),,83329 (part)
83329,Other heavy truck and lorry drivers,,83329 (part)
,,,
,,,
834,MOBILE MACHINERY OPERATORS,,
,     ,,
,,,
8342,Earth Moving and Related Machinery Operators,,
83421,Excavating/Trench digging machine operator,,83421
83422,Bulldozer operator,,83422
83423,Dredge operator,,83423
83424,Pile driver/Drilling machine operator,,83424
83425,Road making machine operator,,83425
83426,Tunnelling machine operator (including pipe jacking machine operator),,83426
83429,Other earth moving and related machinery operators ,,83429
,,,
,,,
8343,"Crane, Hoist and Related Equipment Operators",,
83431,Crane/Hoist operator (general),,83431
83432,Crane operator (port),,83432
83439,"Other crane, hoist and related equipment operators ",,83439
,,,
,,,
8344,Lifting Truck Operators,,
83441,Fork lift truck operator,,83441
83449,Other lifting truck operators ,,83449
,,,
,,,
8349,Mobile Machinery Operators Not Elsewhere Classified,,
83491,Motorised sweeper operator,,83490 (part)
83499,Mobile machinery operator n.e.c. (eg mobile farm plant operator),,83490 (part)
,,,
,,,
835,SHIPS’ DECK CREW AND RELATED WORKERS,,
,,,
,,,
8350,Ships’ Deck Crew and Related Workers,,
83501,Helmsman/Steersman,,83501
83502,Deckhand (including lighterman),,83502
83509,Other ships’ deck crew and related workers,,83509
,,,
,,,
9,"CLEANERS, LABOURERS AND RELATED WORKERS",,
,,,
,,,
91,CLEANERS AND RELATED WORKERS,,
,,,
,,,
910,CLEANING SUPERVISORS,,
,,,
,,,
9100,Cleaning Supervisors,,
91000,Cleaning supervisor,,91000
,,,
,,,
911,"CLEANERS AND HELPERS IN HOTELS, OFFICES AND OTHER ",,
,    ESTABLISHMENTS,,
,,,
,,,
9112,Cleaners and Helpers in Hotels and Related Establishments,,
91121,Room steward/Chambermaid,,91121
91122,Hotel cleaner,,91122
91129,Other cleaners and helpers in hotels and related establishments ,,91129
,,,
,,,
9113,Cleaners in Offices ,,
91130,Office cleaner,,91131
,,,
,,,
9114,Cleaners in Industrial Establishments,,
91140,Industrial establishment cleaner,,91132
,,,
,,,
9115,Cleaners in Food and Beverage Establishments,,
91151,"Food and beverage establishment cleaner (eg restaurants, ",,91139 (part)
,"     food courts, hawker centres)",,
91152,Dish washer/Plate collector/Table-top cleaner,,94104 
,,,
,,,
9116,Cleaners in Residential Areas,,
91160,"Residential area cleaner (eg HDB estates, condominiums, private ",,91139 (part)
,"     apartments, common areas within residential estates)",,
,,,
,,,
9117,Cleaners in Open Areas,,
91170,"Cleaner in open areas (eg bus stops, drains, ",,96130 (part)
,"    waterways, overhead bridges, roads, expressways, parks, beaches)",,
,,,
,,,
9119,Cleaners in Other Establishments,,
91190,"Cleaner in other establishments (eg shopping malls, schools, ",,91139 (part)
,"     hospitals, places of worship)",,96130 (part)
,,,
,,,
912,"VEHICLE, WINDOW, LAUNDRY AND OTHER HAND CLEANING ",,
,    WORKERS,,
,,,
,,,
9121,Hand Launderers and Pressers,,
91210,Hand launderer/presser (non-household),,91210
,,,
,,,
9122,Vehicle Cleaners,,
91220,Motor vehicle cleaner/polisher,,91220
,,,
,,,
9123,Window Cleaners,,
91230,Window cleaner,,91230
,,,
,,,
9129,Cleaning Workers Not Elsewhere Classified,,
91291,Ship/Ship tank cleaner,,91291
91292,Aircraft cleaner,,91292
91293,"Railway carriage cleaner (include MRT, LRT and monorail)",,91293
91299,Other cleaning workers n.e.c.,,91299
,,,
,,,
913,DOMESTIC HELPERS AND CLEANERS,,
,,,
,,,
9130,Domestic Helpers and Cleaners,,
91301,Domestic helper (general),,91301
91309,Other domestic helpers and cleaners,,91309
,,,
,,,
92,"AGRICULTURAL, FISHERY AND RELATED LABOURERS",,
,,,
,,,
921,"AGRICULTURAL, FISHERY AND RELATED LABOURERS",,
,,,
,,,
9214,Park and Garden Maintenance Workers,,
92141,Garden labourer,,92141
92142,Grass cutter,,92142
92143,Tree cutter,,92143
92149,Other park and garden maintenance workers (including landscape worker),,92149
,,,
,,,
9219,"Agricultural, Fishery Labourers and Related Workers Not Elsewhere ",,
,     Classified,,
92190,Agricultural and fishery labourer and related worker n.e.c. (eg farm labourer),,92190
,,,
,,,
93,LABOURERS AND RELATED WORKERS,,
,,,
,,,
931,CONSTRUCTION LABOURERS AND RELATED WORKERS,,
,,,
,,,
9310,Civil Engineering and Building Construction Labourers,,
93100,Civil engineering/Building construction labourer ,,93100
,,,
,,,
932,MANUFACTURING LABOURERS AND RELATED WORKERS,,
,,,
,,,
9320,Manufacturing Labourers and Related Workers,,
93201,Hand packer ,,93201
93209,Manufacturing labourer and related worker n.e.c. (eg rubber sheets clipper,,93209
,    and sorter),,
,,,
,,,
933,TRANSPORT AND STORAGE LABOURERS,,
,,,
,,,
9331,Hand and Pedal Vehicle Drivers,,
93310,Hand/Pedal vehicle driver,,93310
,,,
,,,
9333,Material and Freight Handling Workers,,
93331,Stevedore,,93331
93332,Railway/Road vehicle loader,,93332
93333,Aircraft loader (eg airport baggage/cargo handler),,93333
93334,Godown labourer,,93334
93335,Lorry attendant,,93335
93336,Mover,,93336
93337,Lashing worker,,93339 (part)
93339,Other material and freight handling workers,,93339 (part)
,,,
,,,
94,FOOD PREPARATION AND KITCHEN ASSISTANTS,,
,,,
,,,
941,FOOD PREPARATION AND KITCHEN ASSISTANTS,,
,,,
,,,
9410,Food Preparation and Kitchen Assistants,,
94101,Kitchen assistant,,94101
94102,Food/Drink stall assistant  ,,94102
94103,Fast food preparer ,,94103
94104,"Tea server/steward (excluding bartender, barista and ",,new item
,     food/drink stall assistant),,
,,,
,,,
96,WASTE AND RECYCLABLES COLLECTION WORKERS ,,
,AND OTHER ELEMENTARY WORKERS,,
,,,
